loc_num,population,county_city,loc_type,ramp_int
234,4.0,3720,highway,
235,9.0,4900,ramp,4.0
236,5.0,1956,,
237,3.0,703,,
238,3.0,4002,,
239,4.0,4904,,
240,2.0,5008,,
241,9.0,1200,highway,
242,6.0,105,highway,
243,9.0,100,highway,
244,6.0,106,highway,
245,9.0,100,,
246,5.0,112,highway,
247,6.0,106,ramp,2.0
248,4.0,3311,,
249,6.0,5604,,
250,9.0,5400,ramp,2.0
251,9.0,5400,highway,
252,9.0,5400,intersection,5.0
253,7.0,3711,ramp,3.0
254,4.0,4307,highway,
255,6.0,4314,intersection,6.0
256,3.0,1991,highway,
257,9.0,2000,ramp,2.0
258,9.0,2000,intersection,5.0
259,5.0,1902,ramp,2.0
260,2.0,4119,,
261,3.0,2908,,
262,2.0,4003,,
263,9.0,3100,highway,
264,9.0,1700,highway,
265,4.0,4315,highway,
266,4.0,4307,ramp,1.0
267,9.0,3100,intersection,5.0
268,5.0,5007,,
269,9.0,3900,highway,
270,9.0,3900,,
271,6.0,3604,highway,
272,5.0,3609,highway,
273,9.0,3600,intersection,5.0
274,6.0,3610,,
275,9.0,3600,highway,
276,6.0,3610,ramp,2.0
277,6.0,3706,,
278,4.0,3603,,
279,4.0,3780,,
280,6.0,3394,highway,
281,5.0,3105,highway,
282,6.0,106,ramp,3.0
283,5.0,5407,,
284,5.0,3014,highway,
285,5.0,3014,,
286,5.0,3708,,
287,6.0,5609,highway,
288,6.0,5604,highway,
289,4.0,3311,intersection,5.0
290,6.0,5609,,
291,2.0,4003,highway,
292,3.0,2908,highway,5.0
293,3.0,3305,,
294,3.0,3392,,
295,3.0,3305,highway,
296,3.0,3305,intersection,5.0
297,3.0,3305,ramp,4.0
298,9.0,2400,,
299,9.0,2400,highway,
300,9.0,5200,highway,
301,4.0,3104,highway,
302,6.0,1502,ramp,4.0
303,7.0,1942,ramp,4.0
304,7.0,1942,intersection,5.0
305,9.0,4800,ramp,4.0
306,9.0,3600,,
307,3.0,5605,,
308,3.0,2705,highway,
309,9.0,2300,highway,
310,9.0,2300,,
311,2.0,3920,,
312,4.0,5001,,
313,9.0,1700,,
314,2.0,2703,,
315,9.0,1700,intersection,5.0
316,9.0,3700,intersection,5.0
317,9.0,3300,highway,
318,9.0,3300,,
319,7.0,3711,highway,4.0
320,5.0,4908,,
321,9.0,2400,intersection,5.0
322,3.0,2401,highway,
323,3.0,1507,,
324,3.0,1507,highway,
325,5.0,4311,,
326,7.0,3019,,
327,5.0,4311,ramp,4.0
328,5.0,4311,intersection,6.0
329,5.0,4311,intersection,5.0
330,9.0,5200,ramp,4.0
331,9.0,5200,,
332,9.0,1900,ramp,1.0
333,5.0,1976,highway,
334,2.0,901,intersection,5.0
335,2.0,901,intersection,6.0
336,7.0,4313,ramp,4.0
337,6.0,5607,,
338,5.0,3705,,
339,5.0,4303,,
340,4.0,4302,,
341,4.0,4111,,
342,5.0,4203,,
343,6.0,4106,highway,
344,7.0,109,highway,
345,9.0,4000,,
346,4.0,3310,,
347,6.0,3004,highway,
348,9.0,4700,highway,
349,4.0,4403,,
350,9.0,5800,highway,
351,9.0,5100,highway,
352,4.0,1905,,
353,5.0,3014,intersection,6.0
354,7.0,4313,intersection,5.0
355,5.0,3705,ramp,3.0
356,6.0,1975,highway,
357,5.0,1906,highway,
358,6.0,1955,ramp,2.0
359,5.0,1926,highway,
360,6.0,1955,highway,
361,4.0,1960,highway,
362,3.0,4205,highway,
363,9.0,800,,
364,7.0,3019,ramp,4.0
365,6.0,1953,,
366,9.0,3000,,
367,5.0,3003,ramp,1.0
368,5.0,4203,highway,
369,9.0,4200,,
370,4.0,4214,ramp,4.0
371,9.0,4200,highway,
372,9.0,1500,intersection,6.0
373,9.0,400,,
374,6.0,4106,,
375,2.0,4706,highway,
376,9.0,5300,,
377,9.0,5300,highway,
378,9.0,500,highway,
379,2.0,501,,
380,5.0,3007,,
381,7.0,3001,,
382,4.0,4214,,
383,5.0,1919,,
384,2.0,5404,intersection,5.0
385,2.0,5404,,
386,5.0,1906,,
387,4.0,1913,,
388,4.0,1913,highway,
389,4.0,3342,highway,
390,3.0,5602,,
391,5.0,3708,ramp,1.0
392,9.0,3700,ramp,2.0
393,5.0,3630,highway,
394,6.0,3607,highway,
395,5.0,3611,highway,
396,6.0,1502,ramp,1.0
397,9.0,1500,ramp,2.0
398,6.0,1502,ramp,2.0
399,6.0,3015,,
400,4.0,3605,,
401,4.0,4310,,
402,5.0,5601,,
403,9.0,4100,ramp,2.0
404,5.0,4311,ramp,1.0
405,5.0,4113,ramp,2.0
406,5.0,4312,highway,
407,4.0,4127,highway,
408,3.0,3617,,
409,2.0,2805,,
410,3.0,1914,,
411,3.0,1961,,
412,4.0,3011,highway,
413,3.0,1991,intersection,5.0
414,3.0,1991,,
415,6.0,3026,ramp,1.0
416,5.0,3022,highway,
417,4.0,3002,ramp,1.0
418,6.0,3015,highway,
419,3.0,3904,,
420,4.0,4102,,
421,3.0,3392,intersection,5.0
422,3.0,5006,,
423,2.0,4901,,
424,2.0,1505,,
425,4.0,1962,,
426,4.0,3104,,
427,3.0,1205,,
428,9.0,3300,intersection,5.0
429,6.0,3015,ramp,1.0
430,4.0,198,,
431,2.0,2801,highway,
432,5.0,4113,,
433,5.0,4113,intersection,5.0
434,2.0,2801,intersection,5.0
435,9.0,1400,highway,
436,9.0,1400,,
437,1.0,4701,highway,
438,9.0,3400,ramp,1.0
439,5.0,1965,highway,
440,6.0,1933,highway,
441,4.0,4302,ramp,2.0
442,6.0,1502,ramp,3.0
443,5.0,3025,highway,
444,7.0,3019,ramp,1.0
445,3.0,792,,
446,6.0,3315,highway,
447,1.0,1934,,
448,1.0,1934,ramp,4.0
449,3.0,5006,highway,
450,3.0,5005,,
451,2.0,1511,,
452,2.0,3316,intersection,6.0
453,6.0,3706,intersection,5.0
454,6.0,3905,,
455,6.0,5002,intersection,5.0
456,4.0,1944,,
457,4.0,4115,intersection,5.0
458,4.0,5704,highway,
459,9.0,5700,highway,
460,4.0,3903,,
461,5.0,113,,
462,7.0,3404,intersection,6.0
463,5.0,107,intersection,6.0
464,4.0,3020,,
465,5.0,3621,intersection,6.0
466,3.0,715,ramp,4.0
467,5.0,1965,,
468,5.0,2802,,
469,6.0,704,highway,
470,3.0,792,highway,
471,9.0,5700,,
472,5.0,708,ramp,2.0
473,9.0,700,highway,
474,4.0,5102,intersection,6.0
475,9.0,5100,intersection,5.0
476,9.0,5800,ramp,1.0
477,7.0,3801,ramp,3.0
478,7.0,3801,ramp,1.0
479,4.0,4114,ramp,2.0
480,5.0,3447,,
481,4.0,4111,highway,
482,5.0,708,highway,
483,5.0,701,,
484,7.0,3404,ramp,1.0
485,5.0,3401,highway,
486,9.0,3700,ramp,4.0
487,5.0,4303,ramp,1.0
488,4.0,791,,
489,4.0,1980,,
490,4.0,1203,intersection,6.0
491,4.0,1203,,
492,4.0,1203,highway,
493,4.0,1203,intersection,5.0
494,3.0,5006,intersection,5.0
495,5.0,3713,,
496,4.0,4006,,
497,6.0,3008,,
498,4.0,4006,intersection,5.0
499,4.0,4006,highway,
500,5.0,701,highway,
501,4.0,714,highway,
502,3.0,707,highway,
503,9.0,700,ramp,4.0
504,5.0,701,ramp,2.0
505,5.0,712,highway,
506,3.0,792,intersection,5.0
507,6.0,5608,,
508,3.0,706,ramp,3.0
509,5.0,1924,,
510,9.0,1200,,
511,9.0,5700,intersection,6.0
512,3.0,3601,,
513,3.0,3601,highway,
514,3.0,1964,,
515,9.0,2300,ramp,4.0
516,3.0,4107,highway,
517,3.0,4107,intersection,5.0
518,5.0,4116,,
519,2.0,901,highway,
520,3.0,404,highway,
521,3.0,404,,
522,3.0,404,intersection,5.0
523,3.0,3601,ramp,4.0
524,3.0,3601,intersection,5.0
525,3.0,1507,intersection,6.0
526,2.0,4112,,
527,2.0,4118,,
528,9.0,2300,ramp,3.0
529,7.0,3711,intersection,6.0
530,3.0,3703,highway,
531,3.0,3703,,
532,3.0,3703,intersection,5.0
533,5.0,4908,ramp,4.0
534,5.0,3906,highway,
535,9.0,2400,ramp,1.0
536,5.0,1902,,
537,6.0,1992,highway,
538,9.0,1900,intersection,5.0
539,6.0,105,ramp,4.0
540,6.0,105,,
541,5.0,3619,,
542,4.0,3310,ramp,4.0
543,6.0,3010,,
544,2.0,4907,,
545,5.0,3619,intersection,5.0
546,2.0,3920,highway,
547,5.0,3705,ramp,2.0
548,5.0,3709,highway,
549,4.0,4403,highway,5.0
550,4.0,4403,intersection,6.0
551,4.0,4403,highway,
552,5.0,4203,ramp,4.0
553,4.0,5690,,
554,4.0,4214,ramp,1.0
555,6.0,3604,,
556,6.0,3607,ramp,2.0
557,4.0,3605,highway,
558,4.0,3720,,
559,4.0,3720,ramp,4.0
560,6.0,106,,
561,5.0,113,highway,
562,6.0,1992,,
563,9.0,1600,,
564,9.0,1900,ramp,2.0
565,9.0,1500,ramp,1.0
566,9.0,4000,intersection,5.0
567,9.0,4000,highway,
568,2.0,4005,highway,
569,3.0,4001,highway,
570,6.0,3610,ramp,1.0
571,9.0,2900,highway,
572,5.0,1908,,
573,6.0,1920,highway,
574,5.0,1990,highway,
575,5.0,1990,ramp,1.0
576,6.0,1949,highway,
577,5.0,1935,highway,
578,5.0,1919,ramp,2.0
579,6.0,1949,ramp,4.0
580,9.0,2500,,
581,5.0,1977,,
582,5.0,4806,,
583,5.0,3450,,
584,9.0,5100,intersection,6.0
585,5.0,107,intersection,5.0
586,9.0,500,intersection,5.0
587,3.0,1989,highway,
588,9.0,4200,ramp,4.0
589,5.0,4203,ramp,3.0
590,7.0,109,ramp,4.0
591,3.0,1201,highway,
592,4.0,1503,,
593,6.0,1985,,
594,9.0,1300,ramp,2.0
595,9.0,1300,highway,
596,6.0,3905,highway,
597,2.0,4709,,
598,1.0,1932,highway,
599,5.0,402,,
600,6.0,3702,,
601,9.0,1800,highway,
602,9.0,3900,intersection,5.0
603,2.0,4709,ramp,2.0
604,5.0,3401,,
605,3.0,1927,,
606,9.0,3200,highway,
607,9.0,1300,,
608,6.0,1950,,
609,5.0,3308,,
610,4.0,3048,,
611,5.0,4803,,
612,9.0,2800,,
613,6.0,3004,,
614,6.0,3026,ramp,2.0
615,7.0,3019,ramp,2.0
616,5.0,3022,ramp,2.0
617,3.0,1002,intersection,5.0
618,3.0,1002,,
619,9.0,4500,ramp,1.0
620,5.0,3701,highway,
621,5.0,3713,highway,
622,5.0,3713,ramp,3.0
623,6.0,3706,highway,
624,5.0,3712,highway,
625,6.0,3710,ramp,2.0
626,3.0,3783,highway,
627,9.0,2900,ramp,2.0
628,2.0,1101,highway,
629,2.0,1101,,
630,2.0,1101,intersection,5.0
631,5.0,1976,intersection,6.0
632,9.0,1600,intersection,5.0
633,7.0,1941,intersection,5.0
634,6.0,3008,ramp,4.0
635,3.0,1015,ramp,2.0
636,5.0,2802,highway,
637,5.0,3022,,
638,9.0,1900,intersection,6.0
639,6.0,1925,ramp,2.0
640,2.0,2703,ramp,4.0
641,2.0,2701,,
642,2.0,1967,,
643,3.0,705,intersection,6.0
644,3.0,705,,
645,5.0,4113,intersection,6.0
646,5.0,3619,ramp,4.0
647,3.0,715,,
648,7.0,1941,ramp,4.0
649,7.0,109,intersection,5.0
650,5.0,1908,intersection,5.0
651,5.0,1935,ramp,4.0
652,5.0,1947,highway,
653,5.0,1969,highway,
654,5.0,1959,ramp,1.0
655,5.0,1901,ramp,4.0
656,5.0,1901,highway,
657,6.0,1922,ramp,1.0
658,3.0,1968,highway,
659,5.0,1952,highway,
660,3.0,1914,highway,
661,5.0,1901,ramp,1.0
662,4.0,1907,highway,
663,5.0,1935,,
664,5.0,1952,,
665,3.0,1903,,
666,4.0,3021,highway,
667,4.0,3021,intersection,5.0
668,4.0,3021,,
669,3.0,3051,,
670,4.0,3045,ramp,4.0
671,4.0,3049,,
672,4.0,3045,,
673,6.0,3702,ramp,4.0
674,6.0,5608,ramp,4.0
675,4.0,4115,ramp,1.0
676,4.0,3020,ramp,4.0
677,3.0,2704,highway,
678,5.0,4402,,
679,3.0,4401,ramp,4.0
680,3.0,4401,,
681,2.0,1008,highway,
682,2.0,1008,intersection,6.0
683,2.0,1008,,
684,5.0,4204,intersection,5.0
685,5.0,4204,,
686,5.0,4204,intersection,6.0
687,5.0,1956,intersection,5.0
688,3.0,1012,,
689,4.0,4109,intersection,6.0
690,4.0,4109,,
691,6.0,1953,ramp,4.0
692,5.0,3025,,
693,4.0,3002,highway,
694,4.0,3002,,
695,4.0,3002,intersection,5.0
696,5.0,3025,intersection,5.0
697,6.0,1502,intersection,5.0
698,6.0,105,ramp,1.0
699,6.0,106,ramp,1.0
700,4.0,3640,,
701,6.0,3604,intersection,5.0
702,4.0,3312,,
703,2.0,3316,,
704,5.0,3621,,
705,5.0,3621,intersection,5.0
706,5.0,113,ramp,2.0
707,9.0,100,ramp,4.0
708,9.0,100,ramp,2.0
709,4.0,3301,,
710,4.0,3301,highway,
711,3.0,3302,,
712,3.0,3302,highway,
713,3.0,3302,intersection,5.0
714,3.0,705,intersection,5.0
715,3.0,705,ramp,4.0
716,3.0,705,highway,
717,4.0,791,ramp,4.0
718,4.0,709,ramp,4.0
719,5.0,111,highway,
720,9.0,700,,
721,3.0,102,,
722,3.0,102,highway,
723,4.0,4111,intersection,5.0
724,3.0,5005,intersection,5.0
