pcf_num,pcf_violation_code,pcf_violation_category,subsection,pcf_type
139,21456.0,pedestrian violation,A,vehicle code violation
140,21457.0,other hazardous violation,B,vehicle code violation
141,22502.0,hazardous parking,A,vehicle code violation
142,22104.0,improper turning,,vehicle code violation
143,23112.0,other hazardous violation,,vehicle code violation
144,26451.0,brakes,B,vehicle code violation
145,23114.0,other hazardous violation,,vehicle code violation
146,21705.0,following too closely,,vehicle code violation
147,26452.0,brakes,,vehicle code violation
148,21803.0,automobile right of way,,vehicle code violation
149,22348.0,speeding,B,vehicle code violation
150,21753.0,other hazardous violation,,vehicle code violation
151,21100.0,other hazardous violation,3,vehicle code violation
152,26451.0,brakes,A,vehicle code violation
153,21461.0,pedestrian violation,5,vehicle code violation
154,21655.0,other hazardous violation,,vehicle code violation
155,27360.0,other hazardous violation,B,vehicle code violation
156,2815.0,other hazardous violation,,vehicle code violation
157,21953.0,pedestrian violation,,vehicle code violation
158,22500.0,hazardous parking,H,vehicle code violation
159,22521.0,hazardous parking,,vehicle code violation
160,27150.0,other equipment,,vehicle code violation
161,29004.0,other equipment,B,vehicle code violation
162,22400.0,impeding traffic,,vehicle code violation
163,21713.0,unknown,,vehicle code violation
164,23153.0,dui,B,vehicle code violation
165,21750.0,improper passing,0,vehicle code violation
166,21455.0,traffic signals and signs,,vehicle code violation
167,21106.0,pedestrian violation,B,vehicle code violation
168,21963.0,pedestrian right of way,,vehicle code violation
169,21367.0,traffic signals and signs,B,vehicle code violation
170,25100.0,lights,A,vehicle code violation
171,21800.0,automobile right of way,E,vehicle code violation
172,23115.0,other hazardous violation,A,vehicle code violation
173,20001.0,unknown,,vehicle code violation
174,35251.0,other equipment,A,vehicle code violation
175,29006.0,other equipment,A,vehicle code violation
176,23110.0,other hazardous violation,A,vehicle code violation
177,21651.0,wrong side of road,,vehicle code violation
178,21802.0,automobile right of way,C,vehicle code violation
179,23104.0,unknown,B,vehicle code violation
180,21203.0,other hazardous violation,,vehicle code violation
181,22101.0,improper turning,,vehicle code violation
182,21235.0,unknown,D,vehicle code violation
183,22454.0,traffic signals and signs,A,vehicle code violation
184,23104.0,unknown,A,vehicle code violation
185,22349.0,speeding,B,vehicle code violation
186,27155.0,other equipment,,vehicle code violation
187,38314.0,improper turning,,vehicle code violation
188,22451.0,traffic signals and signs,,vehicle code violation
189,25250.0,lights,,vehicle code violation
190,24002.0,other equipment,B,vehicle code violation
191,28101.0,unknown,A,vehicle code violation
192,23109.0,other hazardous violation,A,vehicle code violation
193,21208.0,other hazardous violation,B,vehicle code violation
194,21200.0,other hazardous violation,,vehicle code violation
195,21700.0,other hazardous violation,,vehicle code violation
196,29001.0,other equipment,,vehicle code violation
197,29004.0,other equipment,A,vehicle code violation
198,2800.0,unknown,2,vehicle code violation
199,21462.0,other hazardous violation,,vehicle code violation
200,22452.0,other hazardous violation,B,vehicle code violation
201,21451.0,pedestrian violation,C,vehicle code violation
202,21717.0,improper turning,,vehicle code violation
203,21752.0,wrong side of road,,vehicle code violation
204,26450.0,brakes,,vehicle code violation
205,2818.0,unknown,,vehicle code violation
206,16028.0,unknown,A,vehicle code violation
207,21223.0,lights,,vehicle code violation
208,27801.0,other equipment,A,vehicle code violation
209,24252.0,lights,B,vehicle code violation
210,21664.0,other hazardous violation,,vehicle code violation
211,21661.0,automobile right of way,,vehicle code violation
212,21660.0,wrong side of road,,vehicle code violation
213,21235.0,brakes,A,vehicle code violation
214,21235.0,other hazardous violation,G,vehicle code violation
215,12500.0,unknown,,vehicle code violation
216,25103.0,lights,A,vehicle code violation
217,21704.0,following too closely,,vehicle code violation
218,21712.0,other hazardous violation,A,vehicle code violation
219,21806.0,pedestrian violation,C,vehicle code violation
220,23152.0,dui,C,vehicle code violation
221,21658.0,other hazardous violation,B,vehicle code violation
222,24252.0,lights,A,vehicle code violation
223,21810.0,automobile right of way,A,vehicle code violation
224,22502.0,hazardous parking,,vehicle code violation
225,22526.0,impeding traffic,,vehicle code violation
226,25251.0,lights,B,vehicle code violation
227,22356.0,speeding,,vehicle code violation
228,21452.0,traffic signals and signs,B,vehicle code violation
229,21204.0,other hazardous violation,,vehicle code violation
230,21662.0,other hazardous violation,B,vehicle code violation
231,23109.0,other hazardous violation,C,vehicle code violation
232,2800.0,other hazardous violation,1,vehicle code violation
233,26454.0,brakes,A,vehicle code violation
234,21706.0,following too closely,,vehicle code violation
235,27450.0,other equipment,,vehicle code violation
236,24603.0,lights,F,vehicle code violation
237,21654.0,impeding traffic,A,vehicle code violation
238,29003.0,other equipment,,vehicle code violation
239,26302.0,brakes,D,vehicle code violation
240,21204.0,other hazardous violation,A,vehicle code violation
241,2800.0,unknown,3,vehicle code violation
242,2800.0,unknown,A,vehicle code violation
243,27453.0,other equipment,,vehicle code violation
244,22500.0,hazardous parking,C,vehicle code violation
245,21718.0,hazardous parking,,vehicle code violation
246,21651.0,wrong side of road,C,vehicle code violation
247,10853.0,unknown,,vehicle code violation
248,27459.0,other equipment,,vehicle code violation
249,23140.0,dui,,vehicle code violation
250,14601.0,unknown,,vehicle code violation
251,0.0,other than driver (or pedestrian),,other than driver
252,0.0,unknown,,unknown
253,0.0,unknown,,vehicle code violation
254,0.0,unknown,,
255,0.0,fell asleep,,fell asleep
256,21712.0,other hazardous violation,B,vehicle code violation
257,0.0,other improper driving,,other improper driving
258,22405.0,speeding,A,vehicle code violation
259,647.0,pedestrian dui,F,vehicle code violation
260,22500.0,hazardous parking,E,vehicle code violation
261,23103.0,unknown,B,vehicle code violation
262,34506.0,other equipment,,vehicle code violation
263,21106.0,pedestrian violation,,vehicle code violation
264,21655.0,other hazardous violation,B,vehicle code violation
265,21204.0,other hazardous violation,B,vehicle code violation
266,14601.0,unknown,A,vehicle code violation
267,21659.0,unknown,,vehicle code violation
268,34506.0,other equipment,F,vehicle code violation
269,22514.0,hazardous parking,,vehicle code violation
270,21202.0,other hazardous violation,A,vehicle code violation
271,29002.0,other equipment,,vehicle code violation
272,21959.0,pedestrian violation,,vehicle code violation
273,21954.0,pedestrian violation,B,vehicle code violation
274,22110.0,other equipment,,vehicle code violation
275,21210.0,unknown,,vehicle code violation
276,27360.0,other hazardous violation,A,vehicle code violation
277,21957.0,pedestrian violation,,vehicle code violation
278,27465.0,other equipment,B,vehicle code violation
279,24004.0,other hazardous violation,,vehicle code violation
280,27154.0,other equipment,,vehicle code violation
281,22526.0,impeding traffic,A,vehicle code violation
282,31500.0,other equipment,,vehicle code violation
283,21235.0,unknown,B,vehicle code violation
284,38330.0,other equipment,,vehicle code violation
285,22349.0,speeding,,vehicle code violation
286,21652.0,other hazardous violation,,vehicle code violation
287,21810.0,automobile right of way,,vehicle code violation
288,23153.0,unknown,D,vehicle code violation
289,21966.0,pedestrian violation,,vehicle code violation
290,21656.0,impeding traffic,,vehicle code violation
291,12500.0,unknown,C,vehicle code violation
292,26502.0,brakes,A,vehicle code violation
293,23152.0,dui,D,vehicle code violation
294,22500.0,hazardous parking,,vehicle code violation
295,22500.0,hazardous parking,G,vehicle code violation
296,22107.0,improper turning,0,vehicle code violation
297,21229.0,other hazardous violation,B,vehicle code violation
298,35109.0,unknown,,vehicle code violation
299,23116.0,other hazardous violation,A,vehicle code violation
300,29004.0,other equipment,C,vehicle code violation
301,25650.0,other hazardous violation,,vehicle code violation
302,2803.0,other hazardous violation,A,vehicle code violation
303,29004.0,other equipment,,vehicle code violation
304,2800.0,unknown,,vehicle code violation
305,22112.0,other hazardous violation,C,vehicle code violation
306,22504.0,hazardous parking,A,vehicle code violation
307,35784.0,other hazardous violation,A,vehicle code violation
308,21715.0,other hazardous violation,B,vehicle code violation
309,24600.0,lights,A,vehicle code violation
310,21758.0,improper passing,,vehicle code violation
311,21221.0,dui,5,vehicle code violation
312,35111.0,other hazardous violation,,vehicle code violation
313,21718.0,hazardous parking,A,vehicle code violation
314,25803.0,lights,,vehicle code violation
315,22502.0,hazardous parking,E,vehicle code violation
316,35410.0,unknown,,vehicle code violation
317,20008.0,unknown,A,vehicle code violation
318,21710.0,other hazardous violation,,vehicle code violation
319,21708.0,other hazardous violation,,vehicle code violation
320,21707.0,other hazardous violation,,vehicle code violation
321,27360.0,other hazardous violation,,vehicle code violation
322,25300.0,other hazardous violation,B,vehicle code violation
323,21655.0,unknown,5,vehicle code violation
324,22406.0,speeding,A,vehicle code violation
325,21702.0,other hazardous violation,,vehicle code violation
326,16028.0,unknown,C,vehicle code violation
327,12951.0,unknown,A,vehicle code violation
328,21113.0,other hazardous violation,A,vehicle code violation
329,14601.0,unknown,1,vehicle code violation
330,22513.0,hazardous parking,,vehicle code violation
331,21806.0,automobile right of way,B,vehicle code violation
332,26454.0,brakes,,vehicle code violation
333,22500.0,hazardous parking,A,vehicle code violation
334,21229.0,other hazardous violation,A,vehicle code violation
335,21752.0,wrong side of road,B,vehicle code violation
336,22356.0,speeding,B,vehicle code violation
337,26508.0,brakes,C,vehicle code violation
338,22411.0,speeding,,vehicle code violation
339,22400.0,impeding traffic,B,vehicle code violation
340,20003.0,unknown,A,vehicle code violation
341,21756.0,improper passing,A,vehicle code violation
342,21463.0,other hazardous violation,,vehicle code violation
343,21703.0,following too closely,0,vehicle code violation
344,21229.0,other hazardous violation,,vehicle code violation
345,27007.0,other equipment,,vehicle code violation
346,21970.0,other hazardous violation,,vehicle code violation
347,23115.0,other hazardous violation,,vehicle code violation
348,22407.0,speeding,,vehicle code violation
349,26451.0,brakes,C,vehicle code violation
350,23116.0,unknown,B,vehicle code violation
351,22505.0,hazardous parking,A,vehicle code violation
352,26301.0,brakes,5,vehicle code violation
353,35551.0,unknown,,vehicle code violation
354,21968.0,other hazardous violation,,vehicle code violation
355,29800.0,other equipment,C,vehicle code violation
356,24600.0,lights,B,vehicle code violation
357,16025.0,unknown,A,vehicle code violation
358,22516.0,unknown,,vehicle code violation
359,24603.0,lights,A,vehicle code violation
360,23109.0,other hazardous violation,B,vehicle code violation
361,26508.0,brakes,E,vehicle code violation
362,26451.0,brakes,,vehicle code violation
363,24600.0,lights,E,vehicle code violation
364,38312.0,unsafe starting or backing,,vehicle code violation
365,2801.0,other hazardous violation,,vehicle code violation
366,22500.0,hazardous parking,1,vehicle code violation
367,26454.0,brakes,B,vehicle code violation
368,21756.0,speeding,C,vehicle code violation
369,14603.0,other hazardous violation,,vehicle code violation
370,22452.0,other hazardous violation,,vehicle code violation
371,2802.0,other hazardous violation,A,vehicle code violation
372,2800.0,unknown,B,vehicle code violation
373,10852.0,unknown,,vehicle code violation
374,26456.0,brakes,,vehicle code violation
375,22515.0,hazardous parking,0,vehicle code violation
376,38304.0,unknown,,vehicle code violation
377,25803.0,lights,A,vehicle code violation
378,22350.0,speeding,0,vehicle code violation
379,21800.0,automobile right of way,0,vehicle code violation
380,20002.0,unknown,B,vehicle code violation
381,27360.0,other hazardous violation,5,vehicle code violation
382,22106.0,unsafe starting or backing,0,vehicle code violation
383,22500.0,hazardous parking,F,vehicle code violation
384,4000.0,unknown,A,vehicle code violation
385,38355.0,brakes,A,vehicle code violation
386,38335.0,lights,,vehicle code violation
387,38317.0,other hazardous violation,,vehicle code violation
388,22406.0,speeding,B,vehicle code violation
389,21201.0,other equipment,C,vehicle code violation
390,23112.0,other hazardous violation,B,vehicle code violation
391,25805.0,lights,,vehicle code violation
392,23111.0,other hazardous violation,,vehicle code violation
393,27600.0,other equipment,,vehicle code violation
394,24003.0,lights,,vehicle code violation
395,25803.0,lights,C,vehicle code violation
396,27151.0,unknown,,vehicle code violation
397,14601.0,unknown,2,vehicle code violation
398,21759.0,improper passing,,vehicle code violation
399,21235.0,other hazardous violation,E,vehicle code violation
400,21700.0,other hazardous violation,5,vehicle code violation
401,24604.0,other equipment,,vehicle code violation
402,28150.0,unknown,,vehicle code violation
403,22510.0,hazardous parking,A,vehicle code violation
404,35251.0,other equipment,,vehicle code violation
405,21956.0,pedestrian violation,A,vehicle code violation
406,23117.0,other hazardous violation,A,vehicle code violation
407,22526.0,impeding traffic,B,vehicle code violation
408,35100.0,other hazardous violation,A,vehicle code violation
409,23550.0,unknown,,vehicle code violation
410,21211.0,impeding traffic,B,vehicle code violation
411,21716.0,other hazardous violation,,vehicle code violation
412,21712.0,other hazardous violation,D,vehicle code violation
413,2817.0,other hazardous violation,,vehicle code violation
414,21211.0,impeding traffic,A,vehicle code violation
415,26707.0,other equipment,,vehicle code violation
416,21712.0,other hazardous violation,,vehicle code violation
417,21805.0,other hazardous violation,C,vehicle code violation
418,21208.0,other hazardous violation,,vehicle code violation
419,21755.0,improper passing,0,vehicle code violation
420,23110.0,unknown,B,vehicle code violation
421,21805.0,other hazardous violation,B,vehicle code violation
422,22410.0,speeding,,vehicle code violation
423,24952.0,lights,,vehicle code violation
424,22405.0,speeding,,vehicle code violation
425,24951.0,lights,B,vehicle code violation
426,21702.0,other hazardous violation,B,vehicle code violation
427,35550.0,unknown,A,vehicle code violation
428,27315.0,other hazardous violation,E,vehicle code violation
429,14601.0,unknown,5,vehicle code violation
430,23112.0,other hazardous violation,A,vehicle code violation
431,26307.0,brakes,,vehicle code violation
432,21452.0,traffic signals and signs,,vehicle code violation
433,22455.0,unknown,,vehicle code violation
434,24953.0,lights,A,vehicle code violation
435,35401.0,unknown,A,vehicle code violation
436,24005.0,unknown,,vehicle code violation
437,28103.0,other equipment,,vehicle code violation
438,22111.0,other hazardous violation,,vehicle code violation
439,21235.0,unknown,C,vehicle code violation
440,27400.0,other hazardous violation,,vehicle code violation
441,24603.0,lights,,vehicle code violation
442,26708.0,other equipment,,vehicle code violation
443,31540.0,other equipment,B,vehicle code violation
444,32107.0,unknown,,vehicle code violation
445,22500.0,hazardous parking,B,vehicle code violation
446,27465.0,other equipment,,vehicle code violation
447,24015.0,other equipment,,vehicle code violation
448,21228.0,other hazardous violation,,vehicle code violation
449,27802.0,other equipment,,vehicle code violation
450,22348.0,speeding,C,vehicle code violation
451,16020.0,unknown,A,vehicle code violation
452,24600.0,lights,C,vehicle code violation
453,22513.0,hazardous parking,B,vehicle code violation
454,35104.0,unknown,,vehicle code violation
455,35401.0,unknown,,vehicle code violation
456,21451.0,pedestrian violation,D,vehicle code violation
457,27150.0,other equipment,A,vehicle code violation
458,25301.0,other hazardous violation,A,vehicle code violation
459,12500.0,unknown,B,vehicle code violation
460,21801.0,automobile right of way,0,vehicle code violation
461,22111.0,other hazardous violation,A,vehicle code violation
462,22112.0,other hazardous violation,,vehicle code violation
463,27450.0,other equipment,A,vehicle code violation
464,35250.0,other hazardous violation,A,vehicle code violation
465,27501.0,other equipment,B,vehicle code violation
466,35551.0,unknown,A,vehicle code violation
467,21970.0,other hazardous violation,A,vehicle code violation
468,35110.0,unknown,,vehicle code violation
469,21207.0,other hazardous violation,5,vehicle code violation
470,16020.0,unknown,,vehicle code violation
471,22523.0,hazardous parking,A,vehicle code violation
472,22454.0,traffic signals and signs,,vehicle code violation
473,22406.0,speeding,C,vehicle code violation
